title,genres,description,rating
Inception,Sci-Fi|Thriller,A thief enters dreams to steal secrets and plant ideas.,8.8
The Matrix,Sci-Fi|Action,A hacker discovers reality is a simulation and joins a rebellion.,8.7
Interstellar,Sci-Fi|Drama,A team travels through a wormhole to save humanity.,8.6
The Dark Knight,Action|Crime,Batman faces the Joker in Gotham City.,9.0
The Social Network,Drama,A story of Facebook's rise and its founder's conflicts.,7.7
Parasite,Thriller|Drama,A poor family infiltrates a rich household with unexpected consequences.,8.5
Whiplash,Drama|Music,A young drummer pushes himself under a demanding instructor.,8.5
Mad Max: Fury Road,Action|Adventure,Survivors race across a wasteland to escape a tyrant.,8.1
La La Land,Romance|Musical,Two artists fall in love while pursuing their dreams in Los Angeles.,8.0
The Godfather,Crime|Drama,The aging patriarch transfers control of his empire to his son.,9.2
